prev_comm,prio,timeslice
kworker/u96:3,120,4478
surface-eDP-1,120,18745
cosmic-com:cs0,120,23304
kworker/u96:3,120,1382
surface-eDP-1,120,19447
cosmic-com:cs0,120,21751
surface-eDP-1,120,19868
cosmic-com:cs0,120,16141
surface-eDP-1,120,25328
cosmic-com:cs0,120,15790
surface-eDP-1,120,13135
cosmic-com:cs0,120,15500
surface-eDP-1,120,63812
cosmic-com:cs0,120,16552
surface-eDP-1,120,53422
kworker/u96:3,120,8727
kworker/u98:2,120,13877
kworker/u96:3,120,8977
kworker/u96:3,120,5320
kworker/u96:3,120,4649
kworker/u96:3,120,4699
kworker/u97:0,120,12203
cosmic-comp,120,23425
kworker/u96:3,120,5130
surface-eDP-1,120,7234
cosmic-comp,120,39075
kworker/u98:2,120,100993
cosmic-comp,120,7154
surface-eDP-1,120,6392
surface-HDMI-A-,120,205994
cosmic-com:cs0,120,26791
kworker/u96:3,120,22883
surface-HDMI-A-,120,20520
cosmic-com:cs0,120,24567
kworker/u96:3,120,10660
surface-HDMI-A-,120,26661
kworker/u96:3,120,1503
cosmic-com:cs0,120,38584
surface-HDMI-A-,120,18636
kworker/u96:3,120,5551
cosmic-com:cs0,120,23375
kworker/u96:3,120,5009
surface-HDMI-A-,120,23515
kworker/u96:3,120,2315
cosmic-com:cs0,120,26681
kworker/u96:3,120,6763
surface-HDMI-A-,120,21471
VizCompositorTh,120,21661
cosmic-com:cs0,120,35989
kworker/u96:3,120,5070
kworker/u96:3,120,1924
surface-HDMI-A-,120,26280
cosmic-com:cs0,120,28575
kworker/u96:3,120,9669
kworker/u96:3,120,1863
surface-HDMI-A-,120,20108
cosmic-com:cs0,120,28895
kworker/u96:3,120,8727
surface-HDMI-A-,120,36540
kworker/u96:3,120,1413
cosmic-com:cs0,120,30829
surface-HDMI-A-,120,32442
cosmic-com:cs0,120,34426
surface-HDMI-A-,120,38904
cosmic-com:cs0,120,31811
surface-HDMI-A-,120,26541
cosmic-com:cs0,120,25088
kworker/u96:3,120,6342
kworker/u96:3,120,5320
surface-HDMI-A-,120,75294
kworker/u97:0,120,12855
kworker/u96:3,120,8826
kworker/u96:3,120,1874
cosmic-comp,120,55206
surface-HDMI-A-,120,2845
surface-eDP-1,120,6602
kworker/u96:3,120,1883
kworker/u97:0,120,149046
kworker/u98:2,120,11732
cosmic-comp,120,20960
surface-HDMI-A-,120,10480
surface-eDP-1,120,38032
surface-eDP-1,120,235812
cosmic-com:cs0,120,47080
kworker/u96:3,120,17313
surface-eDP-1,120,27533
cosmic-com:cs0,120,28044
kworker/u96:3,120,7525
surface-eDP-1,120,23966
cosmic-com:cs0,120,23314
kworker/u96:3,120,4619
surface-eDP-1,120,21582
cosmic-com:cs0,120,24237
surface-eDP-1,120,24437
kworker/u96:3,120,16582
cosmic-com:cs0,120,20018
kworker/u96:3,120,1773
surface-eDP-1,120,15550
cosmic-com:cs0,120,14267
kworker/u96:3,120,5300
surface-eDP-1,120,20560
kworker/u96:3,120,4579
cosmic-com:cs0,120,16491
kworker/u96:3,120,4458
surface-eDP-1,120,15780
cosmic-com:cs0,120,15250
kworker/u96:3,120,4749
surface-eDP-1,120,19808
cosmic-com:cs0,120,15840
kworker/u96:3,120,5030
surface-eDP-1,120,13526
cosmic-com:cs0,120,24226
surface-eDP-1,120,15971
cosmic-com:cs0,120,16382
surface-eDP-1,120,21461
cosmic-com:cs0,120,19067
surface-eDP-1,120,13306
cosmic-com:cs0,120,24848
surface-eDP-1,120,53362
cosmic-com:cs0,120,17003
surface-eDP-1,120,54865
kworker/u98:2,120,42642
kworker/u96:3,120,8146
kworker/u96:3,120,12023
kworker/u96:3,120,5010
kworker/u96:3,120,4759
kworker/u96:3,120,2224
kworker/u96:3,120,2104
kworker/u98:2,120,100272
surface-eDP-1,120,7194
cosmic-comp,120,95754
surface-eDP-1,120,6853
surface-HDMI-A-,120,10740
cosmic-panel,120,251251
kworker/u98:2,120,6894
cosmic-comp,120,21581
surface-HDMI-A-,120,10410
surface-eDP-1,120,33404
surface-eDP-1,120,214230
cosmic-com:cs0,120,47311
kworker/u96:3,120,21952
surface-eDP-1,120,49514
ksoftirqd/22,120,47672
cosmic-com:cs0,120,51639
kworker/u96:3,120,15860
surface-eDP-1,120,47561
kworker/u96:3,120,7244
cosmic-com:cs0,120,39405
kworker/u96:3,120,7003
surface-eDP-1,120,20369
cosmic-com:cs0,120,24838
surface-eDP-1,120,19307
kworker/u96:3,120,21642
cosmic-com:cs0,120,21762
kworker/u96:3,120,1803
surface-eDP-1,120,18946
cosmic-com:cs0,120,23465
surface-eDP-1,120,19097
cosmic-com:cs0,120,19708
surface-eDP-1,120,17924
kworker/u96:3,120,16302
cosmic-com:cs0,120,20139
surface-eDP-1,120,19347
cosmic-com:cs0,120,19768
surface-eDP-1,120,22824
cosmic-com:cs0,120,18505
kworker/u96:3,120,12584
kworker/u96:3,120,5981
surface-eDP-1,120,18465
cosmic-com:cs0,120,23846
surface-eDP-1,120,16822
cosmic-com:cs0,120,22182
surface-eDP-1,120,15740
cosmic-com:cs0,120,24667
surface-eDP-1,120,68261
cosmic-com:cs0,120,22503
surface-eDP-1,120,64033
kworker/u98:2,120,43613
kworker/u96:3,120,12644
kworker/u96:3,120,10039
kworker/u96:3,120,12935
kworker/u96:3,120,2716
kworker/u96:3,120,2104
kworker/u98:2,120,99471
kworker/u97:0,120,8747
cosmic-comp,120,22093
surface-eDP-1,120,7645
cosmic-comp,120,24527
cosmic-comp,120,40177
surface-HDMI-A-,120,123987
cosmic-comp,120,20339
surface-eDP-1,120,11151
surface-HDMI-A-,120,230060
cosmic-com:cs0,120,38905
kworker/u96:3,120,17714
surface-HDMI-A-,120,36059
VizCompositorTh,120,17213
cosmic-com:cs0,120,41099
kworker/u96:3,120,13206
surface-HDMI-A-,120,48623
kworker/u96:3,120,2305
cosmic-com:cs0,120,26220
kworker/u96:3,120,4539
kworker/u96:3,120,2145
surface-HDMI-A-,120,25830
cosmic-com:cs0,120,24026
kworker/u96:3,120,6462
kworker/u96:3,120,2094
surface-HDMI-A-,120,30839
cosmic-com:cs0,120,28925
kworker/u96:3,120,6622
surface-HDMI-A-,120,29696
cosmic-com:cs0,120,25038
kworker/u96:3,120,8937
kworker/u96:3,120,1914
surface-HDMI-A-,120,30068
cosmic-com:cs0,120,28424
kworker/u96:3,120,9678
kworker/u96:3,120,1904
surface-HDMI-A-,120,22443
cosmic-com:cs0,120,27032
kworker/u96:3,120,12544
surface-HDMI-A-,120,38985
kworker/u96:3,120,1482
cosmic-com:cs0,120,27773
surface-HDMI-A-,120,34105
cosmic-com:cs0,120,30278
surface-HDMI-A-,120,34987
cosmic-com:cs0,120,39005
surface-HDMI-A-,120,29877
cosmic-com:cs0,120,26611
kworker/u96:3,120,5470
kworker/u96:3,120,4379
kworker/u96:3,120,4809
kworker/u96:3,120,5119
kworker/u96:3,120,2285
kworker/u97:0,120,16231
surface-HDMI-A-,120,151190
kworker/u96:3,120,2054
surface-HDMI-A-,120,5601
cosmic-comp,120,137764
surface-eDP-1,120,9358
kworker/u97:0,120,150618
kworker/u98:2,120,6302
cosmic-comp,120,26611
surface-HDMI-A-,120,6252
surface-eDP-1,120,23355
surface-eDP-1,120,183621
cosmic-com:cs0,120,19568
surface-eDP-1,120,13977
cosmic-com:cs0,120,16391
kworker/u96:3,120,30238
surface-eDP-1,120,15078
cosmic-com:cs0,120,17704
kworker/u96:3,120,5020
surface-eDP-1,120,12213
cosmic-com:cs0,120,19056
surface-eDP-1,120,17093
cosmic-com:cs0,120,17093
surface-eDP-1,120,15279
kworker/u96:3,120,5200
cosmic-com:cs0,120,14208
kworker/u96:3,120,4970
surface-eDP-1,120,17033
cosmic-com:cs0,120,23374
surface-eDP-1,120,15820
cosmic-com:cs0,120,13977
kworker/u96:3,120,9718
surface-eDP-1,120,13706
cosmic-com:cs0,120,14487
surface-eDP-1,120,18486
cosmic-com:cs0,120,16391
surface-eDP-1,120,15901
kworker/u96:3,120,11111
cosmic-com:cs0,120,14398
surface-eDP-1,120,13636
cosmic-com:cs0,120,15470
surface-eDP-1,120,17143
cosmic-com:cs0,120,15690
surface-eDP-1,120,65455
cosmic-com:cs0,120,17173
surface-eDP-1,120,52590
kworker/u98:2,120,41178
kworker/u96:3,120,9649
kworker/u96:3,120,7915
kworker/u96:3,120,4980
kworker/u96:3,120,4960
kworker/u96:3,120,4529
kworker/u96:3,120,5130
kworker/u98:2,120,99992
cosmic-comp,120,47471
surface-eDP-1,120,7765
surface-HDMI-A-,120,7475
cosmic-panel,120,888642
cosmic-pan:cs0,120,32703
kworker/u96:3,120,27513
cosmic-panel,120,137413
kworker/u96:3,120,5330
cosmic-pan:cs0,120,37461
kworker/u96:3,120,9638
cosmic-panel,120,19067
cosmic-p:gdrv0,120,12503
cosmic-panel,120,38895
cosmic-comp,120,59444
surface-HDMI-A-,120,8777
surface-eDP-1,120,12023
kworker/u96:3,120,5320
cosmic-comp,120,75965
surface-eDP-1,120,12134
surface-HDMI-A-,120,9679
kworker/u98:2,120,6152
cosmic-comp,120,18245
surface-HDMI-A-,120,11021
surface-eDP-1,120,25027
